2022-06-11 01:25:05.232430,874115689508651029,"[174837853778345984, 942424800901599303, 930111883560755250]"
2022-06-11 01:31:26.510118,872141759902285834,"[174837853778345984, 778709999081619486, 778709940540932106, 779027188791246868, 774251889948622848]"
2022-06-11 01:52:35.674401,983896961562345504,[174837853778345984]
2022-06-11 01:55:46.542889,874115689508651029,"[174837853778345984, 942424800901599303, 930111883560755250]"
2022-06-11 01:57:31.745209,983896961562345504,[174837853778345984]
2022-06-11 01:57:40.999096,983896961562345504,[174837853778345984]
2022-06-11 02:01:16.381340,874115689508651029,"[174837853778345984, 942424800901599303, 930111883560755250]"
2022-06-11 02:01:24.924557,874115689508651029,"[174837853778345984, 942424800901599303, 930111883560755250]"
2022-06-11 02:01:59.398996,874115689508651029,"[174837853778345984, 942424800901599303, 930111883560755250]"
2022-06-11 03:56:29.825408,983896961562345504,[174837853778345984]
2022-06-11 05:38:39.939093,839760484545593365,"[174837853778345984, 942424800901599303, 930111883560755250, 925407712861360198, 778709999081619486, 778709940540932106]"
2022-06-11 09:05:49.724297,767726033436672031,"[174837853778345984, 942424800901599303, 930111883560755250, 925407712861360198, 778709999081619486, 778709940540932106, 779027188791246868, 774251889948622848]"
2022-06-11 12:00:23.142668,687208365960855583,"[174837853778345984, 942424800901599303, 930111883560755250, 925407712861360198, 778709973373812737, 778709940540932106, 779027188791246868, 768818452214448128]"
2022-06-11 15:16:11.957140,678338580929576960,[174837853778345984]
2022-06-11 18:09:45.183685,238800629399683073,"[174837853778345984, 778709999081619486, 778709940540932106, 779027188791246868, 774251888115187723, 585529350435242014]"
2022-06-11 18:10:30.297784,678338580929576960,[174837853778345984]
2022-06-11 18:10:36.847914,678338580929576960,[174837853778345984]
2022-06-11 18:10:40.907770,678338580929576960,[174837853778345984]
2022-06-11 18:11:21.095011,678338580929576960,[174837853778345984]
2022-06-11 18:11:35.451626,678338580929576960,[174837853778345984]
2022-06-11 18:12:53.818317,238800629399683073,"[174837853778345984, 778709999081619486, 778709940540932106, 779027188791246868, 774251888115187723, 585529350435242014]"
2022-06-11 18:13:07.553563,238800629399683073,"[174837853778345984, 778709999081619486, 778709940540932106, 779027188791246868, 774251888115187723, 585529350435242014]"
